rank,d=0.85,d=0.95,d=0.50
1,2,2,2
2,37,37,425
3,38,38,37
4,61,61,38
5,52,52,52
6,43,43,61
7,425,27,43
8,27,28,28
9,28,425,1379
10,29,4023,27
11,4023,29,822
12,40,3227,391
13,5254,5254,1370
14,822,3834,5254
15,3227,4075,132
16,73,81,4023
17,132,40,880
18,3834,73,3163
19,81,3941,73
20,4075,3220,29
21,1379,132,630
22,593,5072,3734
23,42,593,20
24,5072,3875,40
25,3941,822,2172
26,3220,3873,44
27,44,42,3227
28,3875,3224,5072
29,1370,3994,4075
30,3873,5175,3834
31,5175,5255,5175
32,46,3221,430
33,3994,3974,621
34,3224,80,3941
35,39,4077,3220
36,41,5112,7
37,80,3226,5112
38,36,3905,1678
39,5112,39,2100
40,33,41,828
41,3221,44,92
42,4077,4024,3875
43,3974,46,3873
44,5255,3918,90
45,5226,5226,91
46,880,36,85
47,3163,4021,88
48,3226,3228,19
49,3905,5073,5226
50,3734,5307,1021
51,3918,33,46
52,5307,4101,33
53,1878,1379,3089
54,4021,3223,21
55,1875,3186,593
56,1877,3729,42
57,630,3835,3224
58,3228,3976,3994
59,1678,5153,5435
60,2100,5176,81
61,828,1678,5307
62,20,2100,3974
63,2172,828,3221
64,391,3939,36
65,32,5456,4077
66,30,119,70
67,4024,1878,34
68,3089,1875,3905
69,4101,1877,3226
70,5153,5397,5153
71,5073,5051,39
72,3223,4139,41
73,1883,5113,200
74,119,1370,32
75,3976,4103,1878
76,621,30,1875
77,1021,3942,1877
78,3186,32,3918
79,3939,3742,3729
80,16,82,4021
81,34,1883,474
82,1873,5227,3228
83,3729,3225,3186
84,5456,3876,87
85,5176,84,30
86,5397,3089,212
87,5051,526,1883
88,4139,16,217
89,48,5209,5456
90,193,4458,4101
91,4103,3808,80
92,217,3274,5468
93,526,1873,53
94,430,3992,3223
95,82,5308,31
96,45,106,193
97,3835,3995,5209
98,212,48,3976
99,7,3229,3939
100,1872,1021,5255
101,5113,5411,3586
102,84,5065,3742
103,5209,4153,119
104,106,5785,3164
105,1876,5523,93
106,3225,5347,1873
107,31,4074,526
108,92,1872,71
109,35,5332,4139
110,5227,193,5051
111,90,4117,5397
112,91,4078,4103
113,3742,5154,5347
114,3942,45,5523
115,3992,3163,5785
116,5523,1876,5332
117,5785,3188,993
118,5347,123,1213
119,4458,880,89
120,3808,83,45
121,3274,34,1876
122,5332,5306,214
123,85,3734,215
124,88,4810,48
125,200,74,72
126,3229,1467,280
127,19,3907,3740
128,123,5256,3225
129,5468,3919,4810
130,21,35,248
131,214,217,86
132,3876,2172,1872
133,5308,31,213
134,215,212,216
135,5411,3872,3992
136,5065,126,106
137,4153,630,1371
138,4117,125,221
139,4810,124,222
140,3586,20,3181
141,213,5468,5073
142,83,5210,1101
143,216,3182,16
144,74,202,3189
145,3995,201,3190
146,5154,214,35
147,3907,215,69
148,53,112,63
149,70,3222,57
150,4074,3973,224
151,248,3977,3274
152,126,5786,3808
153,4078,5524,4458
154,3188,5348,3229
155,125,3586,1467
156,124,213,54
157,87,5111,175
158,224,216,4153
159,5435,200,5065
160,1467,5074,5411
161,71,4025,4117
162,72,430,176
163,112,621,578
164,202,5333,58
165,47,391,55
166,3919,356,10
167,5306,3916,59
168,201,5398,177
169,26,5052,56
170,49,4140,5176
171,50,5143,123
172,3189,3643,3585
173,3190,3644,3587
174,578,3904,148
175,54,224,174
176,280,111,3188
177,5210,4104,3111
178,5143,3645,3664
179,3111,3646,4484
180,3585,3647,4862
181,3587,3648,369
182,93,357,3907
183,356,4020,60
184,3222,5208,5113
185,58,5177,4024
186,55,578,612
187,59,120,68
188,5256,122,3584
189,69,78,5143
190,3164,76,4806
191,10,47,991
192,474,4100,47
193,3872,7,5227
194,57,26,538
195,89,49,26
196,3182,50,49
197,3181,10,50
198,3916,118,65
199,63,5142,158
200,56,3836,5453
201,111,5453,5308
202,612,5114,126
203,5786,3189,82
204,5524,3190,3095
205,5348,3111,3613
206,357,5305,84
207,60,116,3222
208,86,121,125
209,5333,3585,620
210,369,3587,124
211,3643,538,3835
212,3644,545,218
213,5453,539,18
214,993,541,3916
215,3977,92,66
216,3584,536,64
217,3740,537,426
218,68,540,5454
219,76,542,1443
220,3973,544,5154
221,120,546,611
222,122,3938,3182
223,4806,3514,3643
224,78,543,3644
225,3645,1540,5449
226,3646,5228,5450
227,3647,5253,5451
228,3648,248,5452
229,538,4806,67
230,218,53,112
231,5111,75,74
232,5398,5454,3156
233,5052,90,3942
234,4140,91,3645
235,4104,369,3646
236,5454,3943,3647
237,118,1541,3648
238,3904,5144,545
239,545,72,5497
240,121,85,674
241,539,88,539
242,541,3908,541
243,5074,5449,678
244,5449,5450,536
245,5450,5451,537
246,5451,5452,540
247,5452,3584,542
248,536,19,544
249,537,4485,546
250,540,3877,5955
251,542,5309,3876
252,544,71,24
253,546,5331,543
254,543,21,5210
255,75,70,120
256,116,3184,122
257,65,218,12
258,1540,823,4074
259,4020,5823,3995
260,823,54,83
261,620,3996,160
262,4025,5110,3514
263,5208,58,3705
264,611,195,4799
265,176,3991,5483
266,175,55,118
267,4100,59,1860
268,5177,3773,5348
269,991,3774,5524
270,107,3775,5786
271,195,3776,5333
272,66,5410,2145
273,1541,5064,4078
274,64,4152,995
275,1539,3181,840
276,4485,5155,1539
277,3514,1539,3121
278,5142,107,121
279,5144,69,981
280,67,5174,3919
281,1443,57,823
282,1371,258,1342
283,5114,259,1343
284,4484,260,532
285,4862,56,3183
286,3664,4079,5306
287,5955,196,3872
288,3938,199,1871
289,3908,63,4812
290,1871,60,1507
291,426,5930,202
292,148,5931,138
293,177,5932,362
294,158,5933,111
295,5253,5934,450
296,3836,5935,2128
297,196,4116,1540
298,3184,280,427
299,199,87,201
300,5305,79,4485
301,258,5207,449
